Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
more_names_2,personal_network_survey_for_clinical_research_als,,notes,"More names, separated by commas (if needed):",,,,,,,,,,,,,
reshuffle2,personal_network_survey_for_clinical_research_als,,yesno,Reshuffle?,"1, 1. Yes",,,,,,,,,,,,
script2,personal_network_survey_for_clinical_research_als,,descriptive,"You have given me (#) names, which were (list the names). Who are the top five people you socialized with most often over the last 3 months?",,,,,,,[reshuffle2] = '1',,,,,,
name11,personal_network_survey_for_clinical_research_als,"<div class=""rich-text-field-label""><p>Question 3: <br><br><span style=""font-weight: normal;"">Think about people who support your ALS-related needs. This may include coordinating care, providing advice, emotional support, and/or physical assistance. Looking back over the past 3 months, who offers you this type of support?</span></p></div>",text,Name 1,,,,,,,,,,,,,
name12,personal_network_survey_for_clinical_research_als,,text,Name 2,,,,,,,,,,,,,
name13,personal_network_survey_for_clinical_research_als,,text,Name 3,,,,,,,,,,,,,
name14,personal_network_survey_for_clinical_research_als,,text,Name 4,,,,,,,,,,,,,
name15,personal_network_survey_for_clinical_research_als,,text,Name 5,,,,,,,,,,,,,
more_names_3,personal_network_survey_for_clinical_research_als,,notes,"More names, separated by commas (if needed):",,,,,,,,,,,,,
reshuffle3,personal_network_survey_for_clinical_research_als,,yesno,Reshuffle?,"1, 1. Yes",,,,,,,,,,,,
script3,personal_network_survey_for_clinical_research_als,,descriptive,"You have given me (#) names, which were (list the names). Who are the top five people who offer you this kind of support?",,,,,,,[reshuffle3] = '1',,,,,,
name_1,personal_network_survey_for_clinical_research_als,"Now, we are going to create a master list from the names you provided above. We are going to review the first 5 names you provided for each of the questions above and remove any duplicates or blanks. 

I will read the list of names and ask you to help me determine who to keep. We will keep the person the first time they are named. If someone's name comes up more than once, we will remove the duplicates. I will ask you to confirm they are the same person and not another person with the same name. 

[Click the ""Keep"" button next to the first time a person is named in the list. If you do not click ""Keep,"" then the name will be removed. If a person shows up in the list more than once, only choose ""Keep"" once. All blanks and duplicates should be left as ""Remove"".]
",radio,[name1],"1, Keep | 0, Remove",,,,,,,y,,,unique,," @DEFAULT=""0"""
name_2,personal_network_survey_for_clinical_research_als,,radio,[name2],"1, Keep | 0, Remove",,,,,,,y,,,unique,," @DEFAULT=""0"""
name_3,personal_network_survey_for_clinical_research_als,,radio,[name3],"1, Keep | 0, Remove",,,,,,,y,,,unique,," @DEFAULT=""0"""
name_4,personal_network_survey_for_clinical_research_als,,radio,[name4],"1, Keep | 0, Remove",,,,,,,y,,,unique,," @DEFAULT=""0"""
name_5,personal_network_survey_for_clinical_research_als,,radio,[name5],"1, Keep | 0, Remove",,,,,,,y,,,unique,," @DEFAULT=""0"""
name_6,personal_network_survey_for_clinical_research_als,,radio,[name6],"1, Keep | 0, Remove",,,,,,,y,,,unique,," @DEFAULT=""0"""
name_7,personal_network_survey_for_clinical_research_als,,radio,[name7],"1, Keep | 0, Remove",,,,,,,y,,,unique,," @DEFAULT=""0"""
name_8,personal_network_survey_for_clinical_research_als,,radio,[name8],"1, Keep | 0, Remove",,,,,,,y,,,unique,," @DEFAULT=""0"""
name_9,personal_network_survey_for_clinical_research_als,,radio,[name9],"1, Keep | 0, Remove",,,,,,,y,,,unique,," @DEFAULT=""0"""
name_10,personal_network_survey_for_clinical_research_als,,radio,[name10],"1, Keep | 0, Remove",,,,,,,y,,,unique,," @DEFAULT=""0"""
name_11,personal_network_survey_for_clinical_research_als,,radio,[name11],"1, Keep | 0, Remove",,,,,,,y,,,unique,," @DEFAULT=""0"""
name_12,personal_network_survey_for_clinical_research_als,,radio,[name12],"1, Keep | 0, Remove",,,,,,,y,,,unique,," @DEFAULT=""0"""
name_13,personal_network_survey_for_clinical_research_als,,radio,[name13],"1, Keep | 0, Remove",,,,,,,y,,,unique,," @DEFAULT=""0"""
name_14,personal_network_survey_for_clinical_research_als,,radio,[name14],"1, Keep | 0, Remove",,,,,,,y,,,unique,," @DEFAULT=""0"""
name_15,personal_network_survey_for_clinical_research_als,,radio,[name15],"1, Keep | 0, Remove",,,,,,,y,,,unique,," @DEFAULT=""0"""
first,personal_network_survey_for_clinical_research_als,,calc,Number Filled in First 10 Slots,"sum([name_1],[name_2],[name_3],[name_4],[name_5],[name_6],[name_7],[name_8],[name_9],[name_10])",This is just for us to keep track.,,,,,,,,,,, @HIDDEN-SURVEY
size,personal_network_survey_for_clinical_research_als,,calc,Total number of social contacts,"sum([name_1],[name_2],[name_3],[name_4],[name_5],[name_6],[name_7],[name_8],[name_9],[name_10],[name_11],[name_12],[name_13],[name_14],[name_15])",Total number of names you kept.,,,,,,,,,,, @HIDDEN-SURVEY
tie1,personal_network_survey_for_clinical_research_als,"<div class=""rich-text-field-label""><p>Relationship Description<br><br><span style=""font-weight: normal;"">We are now going to focus on the relationships in your social network. If you notice some names missing, that is okay - we are only using the first 10 from your master list.</span></p> <p><span style=""font-weight: normal;"">We are interested in how close you feel to each person below. Your options are ""especially close"" or ""not especially close."" I am going to read through your master list we created above. If you notice a duplicate, please let me know and we will go back to the previous section to correct this.</span><br><br><br><span style=""font-weight: normal;"">Compared to everyone you've listed, how close do you feel to each person?</span></p></div>",radio,[name1],"2, especially close | 1, not especially close",,,,,,"[name_1] = ""1""",y,,,,,
tie2,personal_network_survey_for_clinical_research_als,,radio,[name2],"2, especially close | 1, not especially close",,,,,,"[name_2] = ""1""",y,,,,,
tie3,personal_network_survey_for_clinical_research_als,,radio,[name3],"2, especially close | 1, not especially close",,,,,,"[name_3] = ""1""",y,,,,,
tie4,personal_network_survey_for_clinical_research_als,,radio,[name4],"2, especially close | 1, not especially close",,,,,,"[name_4] = ""1""",y,,,,,
tie5,personal_network_survey_for_clinical_research_als,,radio,[name5],"2, especially close | 1, not especially close",,,,,,"[name_5] = ""1""",y,,,,,
tie6,personal_network_survey_for_clinical_research_als,,radio,[name6],"2, especially close | 1, not especially close",,,,,,"[name_6] = ""1""",y,,,,,
tie7,personal_network_survey_for_clinical_research_als,,radio,[name7],"2, especially close | 1, not especially close",,,,,,"[name_7] = ""1""",y,,,,,
tie8,personal_network_survey_for_clinical_research_als,,radio,[name8],"2, especially close | 1, not especially close",,,,,,"[name_8] = ""1""",y,,,,,
tie9,personal_network_survey_for_clinical_research_als,,radio,[name9],"2, especially close | 1, not especially close",,,,,,"[name_9] = ""1""",y,,,,,
tie10,personal_network_survey_for_clinical_research_als,,radio,[name10],"2, especially close | 1, not especially close",,,,,,"[name_10] = ""1""",y,,,,,
tie11,personal_network_survey_for_clinical_research_als,,radio,[name11],"2, especially close | 1, not especially close",,,,,,"[first] < 10 and [name_11] = ""1""",y,,,,,
tie12,personal_network_survey_for_clinical_research_als,,radio,[name12],"2, especially close | 1, not especially close",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",y,,,,,
tie13,personal_network_survey_for_clinical_research_als,,radio,[name13],"2, especially close | 1, not especially close",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",y,,,,,
tie14,personal_network_survey_for_clinical_research_als,,radio,[name14],"2, especially close | 1, not especially close",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",y,,,,,
tie15,personal_network_survey_for_clinical_research_als,,radio,[name15],"2, especially close | 1, not especially close",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",y,,,,,
progress_25p,personal_network_survey_for_clinical_research_als,,descriptive,"<div class=""green"" style=""text-align:center;""><b>Thank you. We are about 25% done with this survey. Keep going!</b></div>",,,,,,,[name_1] > '0',,,,,,
a_tie1,personal_network_survey_for_clinical_research_als,"<div class=""rich-text-field-label""><p style=""line-height: 132%; margin: 1.3pt 0in .0001pt 2.8pt;""><span style=""font-weight: normal;"">We will now focus on the relationship between each pair of people you mentioned. For example, I will ask about </span><span style=""color: #e03e2d;"">[name1]</span> <span style=""font-weight: normal;"">and </span><span style=""color: #e03e2d;"">[name2]</span><span style=""font-weight: normal;"">. </span></p> <p style=""line-height: 132%; margin: 1.3pt 0in .0001pt 2.8pt;""> </p> <p style=""line-height: 132%; margin: 1.3pt 0in .0001pt 2.8pt;""><span style=""font-weight: normal;"">For each pair, I will ask whether they are total strangers, in-between, or especially close. Here is what we mean by each term: </span></p> <p style=""line-height: 132%; margin: 1.3pt 0in .0001pt 2.8pt;""> </p> <p style=""line-height: 132%; margin: 1.3pt 0in .0001pt 2.8pt;"">Total strangers:<span style=""font-weight: normal;""> The two people wouldn't recognize one another if they met on the street.</span><span style=""font-weight: normal;""> </span></p> <p style=""line-height: 132%; margin: 1.3pt 0in .0001pt 2.8pt;""> </p> <p style=""line-height: 132%; margin: 1.3pt 0in .0001pt 2.8pt;"">In-between:<span style=""font-weight: normal;""> Relationships in the middle of total strangers and especially close. Typically, these people are casual acquaintances. </span></p> <p style=""line-height: 132%; margin: 1.3pt 0in .0001pt 2.8pt;""> </p> <p style=""line-height: 132%; margin: 1.3pt 0in .0001pt 2.8pt;"">Especially close: <span style=""font-weight: normal;"">The two people are as close or closer to each other than they are to you.</span></p></div>",radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name2]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_2] = ""1""",y,,,,,
a_tie2,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name3]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_3] = ""1""",y,,,,,
a_tie3,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name4]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_4] = ""1""",y,,,,,
a_tie4,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name5]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_5] = ""1""",y,,,,,
a_tie5,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name6]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_6] = ""1""",y,,,,,
a_tie6,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name7]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_7] = ""1""",y,,,,,
a_tie7,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name8]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_8] = ""1""",y,,,,,
a_tie8,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie9,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie10,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie11,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie12,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie13,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie14,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
hdr1,personal_network_survey_for_clinical_research_als,,descriptive,"<hr style=""height:1px;border:none;color:#333;background-color:#333;"" />",,,,,,,"[name_2] = ""1"" AND ([name_3] = 1 OR [name_4] = 1 OR [name_5] = 1 OR [name_6] = 1 OR [name_7] = 1 OR [name_8] = 1 OR [name_9] = 1 OR [name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie15,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name3]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_3] = ""1""",y,,,,,
a_tie16,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name4]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_4] = ""1""",y,,,,,
a_tie17,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name5]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_5] = ""1""",y,,,,,
a_tie18,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name6]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_6] = ""1""",y,,,,,
a_tie19,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name7]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_7] = ""1""",y,,,,,
a_tie20,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name8]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_8] = ""1""",y,,,,,
a_tie21,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie22,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie23,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie24,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie25,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie26,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie27,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
hdr2,personal_network_survey_for_clinical_research_als,,descriptive,"<hr style=""height:1px;border:none;color:#333;background-color:#333;"" />",,,,,,,[name_3] = 1 AND ([name_4] = 1 OR [name_5] = 1 OR [name_6] = 1 OR [name_7] = 1 OR [name_8] = 1 OR [name_9] = 1 OR [name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1),,,,,,
a_tie28,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name4]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND [name_4] = ""1""",y,,,,,
a_tie29,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name5]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND [name_5] = ""1""",y,,,,,
a_tie30,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name6]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND [name_6] = ""1""",y,,,,,
a_tie31,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name7]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND [name_7] = ""1""",y,,,,,
a_tie32,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name8]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND [name_8] = ""1""",y,,,,,
a_tie33,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie34,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie35,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie36,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie37,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie38,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie39,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
hdr3,personal_network_survey_for_clinical_research_als,,descriptive,"<hr style=""height:1px;border:none;color:#333;background-color:#333;"" />",,,,,,,[name_4] = 1 AND ([name_5] = 1 OR [name_6] = 1 OR [name_7] = 1 OR [name_8] = 1 OR [name_9] = 1 OR [name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1),,,,,,
a_tie40,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name5]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND [name_5] = ""1""",y,,,,,
a_tie41,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name6]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND [name_6] = ""1""",y,,,,,
a_tie42,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name7]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND [name_7] = ""1""",y,,,,,
a_tie43,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name8]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND [name_8] = ""1""",y,,,,,
